priority,priority_reasons,missing_fields,source_type,file_ext,doc_id,sha256,file_name,title,source_url,attachment_url,column,publisher,publish_date,doc_no,business_domain,regulatory_topic,source_site,version_status,effective_date,expiry_date,supersedes_doc_id,superseded_by_doc_id,version_group
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_330,,330_2020年7月全国各地区原保险保费收入情况表_全国各地区原保险保费收入情况表.xls,全国各地区原保险保费收入情况表,,,监管统计数据,中国银行保险监督管理委员会,,,监管统计,全国各地区原保险保费收入,,unknown,,,,,
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_331,,331_2020年7月人身险公司经营情况表_人身险公司经营情况表.xls,人身险公司经营情况表,,,监管统计数据,中国银行保险监督管理委员会,,,保险经营统计,人身险公司经营情况表,,unknown,,,,,
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_332,,332_2020年7月财产保险公司经营情况表_财产保险公司经营情况表.xls,财产保险公司经营情况表,,,监管统计数据,中国银行保险监督管理委员会,,,保险经营统计,财产保险公司经营情况表,,unknown,,,,,
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_333,,333_2020年7月保险业经营情况表_保险业经营情况表.xls,保险业经营情况表,,,监管统计数据,中国银行保险监督管理委员会,,,保险经营统计,保险业经营情况表,,unknown,,,,,
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_334,,334_2020年6月全国各地区原保险保费收入情况表_全国各地区原保险保费收入情况表.xls,全国各地区原保险保费收入情况表,,,监管统计数据,中国银行保险监督管理委员会,,,监管统计,全国各地区原保险保费收入,,unknown,,,,,
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_335,,335_2020年6月人身险公司经营情况表_人身险公司经营情况表.xls,人身险公司经营情况表,,,监管统计数据,中国银行保险监督管理委员会,,,保险经营统计,人身险公司经营情况表,,unknown,,,,,
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_336,,336_2020年6月财产保险公司经营情况表_财产保险公司经营情况表.xls,财产保险公司经营情况表,,,监管统计数据,中国银行保险监督管理委员会,,,保险经营统计,财产保险公司经营情况表,,unknown,,,,,
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_337,,337_2020年6月保险业经营情况表_保险业经营情况表.xls,保险业经营情况表,,,监管统计数据,中国银行保险监督管理委员会,,,保险经营统计,保险业经营情况表,,unknown,,,,,
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_338,,338_2020年5月全国各地区原保险保费收入情况表_全国各地区原保险保费收入情况表.xls,全国各地区原保险保费收入情况表,,,监管统计数据,中国银行保险监督管理委员会,,,监管统计,全国各地区原保险保费收入,,unknown,,,,,
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_339,,339_2020年5月人身险公司经营情况表_人身险公司经营情况表.xls,人身险公司经营情况表,,,监管统计数据,中国银行保险监督管理委员会,,,保险经营统计,人身险公司经营情况表,,unknown,,,,,
